DIVISION,DATE,FIXTURE,HOME TEAM,AWAY TEAM,Team_Home,PPG_Home,Last8_Home,Team_Away,PPG_Away,Last8_Away
EPL,27/04/19,Swansea City - Hull City,Swansea City,Hull City,Swansea City,0.5072463768115942,0.36708860759493667,Hull City,0.5507246376811594,0.42194092827004215
EPL,27/04/19,West Bromwich - Rotherham,West Bromwich,Rotherham,West Bromwich,0.7753623188405796,0.42194092827004215,Rotherham,0.20289855072463764,0.26160337552742613
EPL,27/04/19,Sheffield Utd - Ipswich Town,Sheffield Utd,Ipswich Town,Sheffield Utd,0.8768115942028986,0.5274261603375527,Ipswich Town,0.0,0.10548523206751054
EPL,27/04/19,Norwich City - Blackburn,Norwich City,Blackburn,Norwich City,1.0,0.7890295358649789,Blackburn,0.427536231884058,0.21097046413502105
EPL,28/04/19,Leeds Utd - Aston Villa,Leeds Utd,Aston Villa,Leeds Utd,0.9275362318840579,0.6835443037974683,Aston Villa,0.7028985507246376,1.0
EPL,30/04/19,Millwall - Bristol City,Millwall,Bristol City,Millwall,0.2536231884057971,0.1561181434599156,Bristol City,0.6666666666666667,0.36708860759493667
EPL,01/05/19,Swansea City - Derby County,Swansea City,Derby County,Swansea City,0.5072463768115942,0.36708860759493667,Derby County,0.6304347826086957,0.36708860759493667
EPL,05/05/19,Aston Villa - Norwich City,Aston Villa,Norwich City,Aston Villa,0.7028985507246376,1.0,Norwich City,1.0,0.7890295358649789
EPL,05/05/19,Blackburn - Swansea City,Blackburn,Swansea City,Blackburn,0.427536231884058,0.21097046413502105,Swansea City,0.5072463768115942,0.36708860759493667
EPL,05/05/19,Brentford - Preston,Brentford,Preston,Brentford,0.44927536231884063,0.1561181434599156,Preston,0.5000000000000001,0.26160337552742613
EPL,05/05/19,Derby County - West Bromwich,Derby County,West Bromwich,Derby County,0.6304347826086957,0.36708860759493667,West Bromwich,0.7753623188405796,0.42194092827004215
EPL,05/05/19,Hull City - Bristol City,Hull City,Bristol City,Hull City,0.5507246376811594,0.42194092827004215,Bristol City,0.6666666666666667,0.36708860759493667
EPL,05/05/19,Ipswich Town - Leeds Utd,Ipswich Town,Leeds Utd,Ipswich Town,0.0,0.10548523206751054,Leeds Utd,0.9275362318840579,0.6835443037974683
EPL,05/05/19,Nottm Forest - Bolton,Nottm Forest,Bolton,Nottm Forest,0.5000000000000001,0.10548523206751054,Bolton,0.06521739130434781,0.05063291139240506
EPL,05/05/19,Reading - Birmingham City,Reading,Birmingham City,Reading,0.2753623188405797,0.47257383966244726,Birmingham City,0.46376811594202905,0.0
EPL,05/05/19,Rotherham - Middlesbrough,Rotherham,Middlesbrough,Rotherham,0.20289855072463764,0.26160337552742613,Middlesbrough,0.6159420289855073,0.05063291139240506
EPL,05/05/19,Sheffield Wed - QP Rangers,Sheffield Wed,QP Rangers,Sheffield Wed,0.5289855072463767,0.36708860759493667,QP Rangers,0.34057971014492744,0.05063291139240506
EPL,05/05/19,Stoke City - Sheffield Utd,Stoke City,Sheffield Utd,Stoke City,0.41304347826086957,0.3164556962025316,Sheffield Utd,0.8768115942028986,0.5274261603375527
EPL,05/05/19,Wigan Athletic - Millwall,Wigan Athletic,Millwall,Wigan Athletic,0.23913043478260868,0.05063291139240506,Millwall,0.2536231884057971,0.1561181434599156
EPL,20/04/19,Bayern Munich - Werder Bremen,Bayern Munich,Werder Bremen,Bayern Munich,1.0,1.0,Werder Bremen,0.6065573770491803,0.7272727272727273
EPL,20/04/19,FC Augsburg - Stuttgart,FC Augsburg,Stuttgart,FC Augsburg,0.26775956284153,0.45454545454545453,Stuttgart,0.13114754098360654,0.2727272727272727
EPL,20/04/19,FSV Mainz - Düsseldorf,FSV Mainz,Düsseldorf,FSV Mainz,0.360655737704918,0.2727272727272727,Düsseldorf,0.4371584699453552,0.5454545454545454
EPL,20/04/19,Leverkusen - FC Nürnberg,Leverkusen,FC Nürnberg,Leverkusen,0.5846994535519126,0.5454545454545454,FC Nürnberg,0.07650273224043716,0.2727272727272727
EPL,20/04/19,Moenchengladb. - RB Leipzig,Moenchengladb.,RB Leipzig,Moenchengladb.,0.6994535519125683,0.4109090909090909,RB Leipzig,0.8306010928961748,0.9090909090909091
EPL,20/04/19,Schalke 04 - Hoffenheim,Schalke 04,Hoffenheim,Schalke 04,0.24590163934426232,0.2290909090909091,Hoffenheim,0.6229508196721312,0.7745454545454545
EPL,21/04/19,Freiburg - Dortmund,Freiburg,Dortmund,Freiburg,0.3387978142076503,0.4109090909090909,Dortmund,0.983606557377049,0.7272727272727273
EPL,21/04/19,Hertha Berlin - Hannover 96,Hertha Berlin,Hannover 96,Hertha Berlin,0.3989071038251366,0.18181818181818182,Hannover 96,0.0,0.0
EPL,22/04/19,Wolfsburg - Frankfurt,Wolfsburg,Frankfurt,Wolfsburg,0.5846994535519126,0.5927272727272727,Frankfurt,0.7158469945355191,0.8654545454545454
EPL,26/04/19,FC Augsburg - Leverkusen,FC Augsburg,Leverkusen,FC Augsburg,0.26775956284153,0.45454545454545453,Leverkusen,0.5846994535519126,0.5454545454545454
EPL,27/04/19,Dortmund - Schalke 04,Dortmund,Schalke 04,Dortmund,0.983606557377049,0.7272727272727273,Schalke 04,0.24590163934426232,0.2290909090909091
EPL,27/04/19,Düsseldorf - Werder Bremen,Düsseldorf,Werder Bremen,Düsseldorf,0.4371584699453552,0.5454545454545454,Werder Bremen,0.6065573770491803,0.7272727272727273
